                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6794,                 1.3596,                 2.1873,                0.21414,                0.32987,                0.18185,                0.04624,                 3.1701,                 2.5737,                 3.7924,               0.070423,              0.0032864,              0.0032864
                      2,                 1.5689,                  1.108,                 2.0082,                0.52255,                0.77951,                0.65087,                 0.2701,                 2.0692,                 1.2448,                 2.5203,                0.04039,               0.006587,               0.006587
                      3,                 1.5647,                 1.0906,                 2.0187,                0.57658,                0.76335,                0.74573,                0.31438,                  1.998,                 1.2977,                  2.469,               0.010324,              0.0098545,              0.0098545
                      4,                 1.5595,                 1.0781,                 2.0039,                0.53618,                0.71752,                 0.6494,                0.29297,                  1.858,                 1.4549,                 2.3037,              0.0098515,              0.0098515,              0.0098515
