                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5062,                  2.809,                 4.1101,                 1.1441,                0.02613,                0.23207,                 0.0218,                0.01044,                  2e-05,                0.00025,                  1e-05,                      0,                 1.7103,                 66.005,                 3.9991,                 1.2933,                 0.0874,                 0.0014,                 0.0014
                      1,                 1.4008,                 2.1303,                 2.9736,                 1.0943,                0.02613,                0.23207,                 0.0218,                0.01044,                  2e-05,                0.00025,                  1e-05,                      0,                 1.9033,                 82.638,                  3.931,                  1.481,               0.073871,              0.0028713,              0.0028713
                      2,                 1.3687,                 2.0399,                 2.7265,                 1.1037,                0.00809,                0.00668,                0.00475,                0.00248,                0.07808,                0.00278,                 0.0026,                0.00053,                 2.2081,                 35.882,                 6.4263,                 1.6654,               0.060313,              0.0043129,              0.0043129
                      3,                 1.3776,                 2.0911,                 2.6213,                 1.1249,                0.04615,                0.00537,                0.02372,                  0.014,                0.04443,                0.00378,                0.02258,                0.00296,                 1.9588,                 20.136,                   6.14,                 1.6721,               0.046725,              0.0057248,              0.0057248
                      4,                 1.3529,                 1.9488,                 2.5142,                 1.1093,                0.04183,                0.00789,                0.02167,                0.00926,                0.04121,                0.00734,                0.02106,                0.00844,                 1.7374,                 9.1236,                 3.9151,                 1.5737,               0.033107,               0.007107,               0.007107
                      5,                 1.3544,                 1.9616,                 2.4628,                 1.0991,                0.07781,                0.06482,                0.04757,                 0.0263,                0.07599,                0.06338,                0.04618,                0.02196,                 1.6623,                 6.5986,                 3.0245,                 1.3919,               0.019459,              0.0084594,              0.0084594
                      6,                 1.3749,                 2.0082,                  2.442,                 1.1289,                0.05173,                0.32303,                0.05617,                0.02665,                 0.0504,                0.31216,                0.05372,                0.02375,                 1.7682,                 4.7524,                 3.0455,                 1.5252,               0.009406,               0.009406,               0.009406
                      7,                 1.3139,                 1.8414,                 2.3459,                 1.0941,                0.06972,                0.07225,                0.04757,                0.02581,                0.06835,                0.07141,                0.04684,                 0.0252,                 1.5937,                 4.0971,                 3.1244,                 1.3771,               0.009406,               0.009406,               0.009406
                      8,                  1.313,                 1.8603,                 2.3099,                 1.0873,                0.06563,                0.17024,                0.05505,                0.03085,                0.06779,                0.16471,                0.05349,                0.02732,                 1.5824,                 3.3333,                 3.0193,                   1.31,               0.009307,               0.009307,               0.009307
                      9,                 1.2918,                 1.8759,                 2.2782,                 1.0946,                0.05562,                0.03563,                0.03402,                0.02054,                0.05373,                0.03564,                0.03266,                0.01863,                 1.4977,                 3.2005,                 3.7992,                 1.3186,               0.009208,               0.009208,               0.009208
                     10,                 1.2803,                 1.8291,                 2.2775,                 1.0774,                0.09375,                0.01735,                0.05138,                0.03129,                0.09258,                0.01694,                 0.0507,                0.03006,                 1.5545,                 2.8564,                 4.2812,                 1.4148,               0.009109,               0.009109,               0.009109
                     11,                 1.2821,                 1.7903,                 2.2235,                 1.0782,                0.13402,                0.22111,                0.09485,                0.05805,                0.13345,                0.22051,                0.09431,                0.05443,                 1.3455,                 2.3194,                 2.6488,                 1.1943,                0.00901,                0.00901,                0.00901
                     12,                 1.2676,                 1.7467,                 2.1961,                 1.0875,                0.16263,                0.34171,                0.15324,                0.09152,                0.16159,                0.33988,                0.15027,                0.08032,                 1.3383,                 2.4232,                 2.2463,                 1.2197,               0.008911,               0.008911,               0.008911
                     13,                 1.2636,                 1.7783,                 2.1774,                 1.0941,                 0.0942,                0.09685,                0.06988,                0.04332,                0.09448,                 0.0966,                0.06998,                0.04057,                 1.4175,                 2.5003,                 2.8838,                 1.2432,               0.008812,               0.008812,               0.008812
                     14,                 1.2826,                 1.7455,                 2.1725,                 1.0846,                0.12458,                0.19708,                  0.088,                 0.0518,                0.12219,                0.19336,                0.08674,                0.04582,                 1.4588,                 2.2804,                 2.4229,                 1.2432,               0.008713,               0.008713,               0.008713
                     15,                 1.2416,                 1.7949,                 2.2029,                 1.0796,                0.06173,                0.38201,                0.07333,                0.03922,                 0.0638,                0.38587,                0.07576,                0.03877,                 1.8354,                 2.6754,                 3.0521,                 1.4523,               0.008614,               0.008614,               0.008614
                     16,                 1.2436,                 1.7325,                 2.0951,                 1.0859,                0.08336,                0.26981,                0.07387,                0.03334,                0.07918,                0.33629,                0.07946,                 0.0347,                 2.1181,                 3.3911,                 3.4126,                 1.5874,               0.008515,               0.008515,               0.008515
                     17,                 1.2408,                 1.7479,                 2.0819,                 1.0652,                0.17153,                 0.4181,                0.16083,                0.10165,                0.17257,                0.41648,                0.16195,                0.09452,                 1.2524,                 1.8909,                 2.2626,                 1.1583,               0.008416,               0.008416,               0.008416
                     18,                 1.2272,                 1.6906,                 2.0814,                  1.073,                0.17109,                0.26965,                0.14315,                0.09146,                0.17064,                0.26899,                0.14251,                0.08422,                  1.243,                 1.9584,                 2.2411,                 1.1575,               0.008317,               0.008317,               0.008317
                     19,                 1.2335,                 1.7335,                 2.0778,                 1.0872,                0.19405,                0.39111,                0.16396,                0.09596,                0.19565,                0.38915,                0.16506,                0.09527,                 1.3936,                 1.9598,                  2.332,                 1.2382,               0.008218,               0.008218,               0.008218
                     20,                 1.2165,                  1.703,                 2.0423,                 1.0803,                 0.2035,                0.40106,                0.19906,                0.11914,                0.20315,                0.40022,                0.19812,                 0.1098,                 1.3331,                 2.0308,                 2.2468,                 1.1875,               0.008119,               0.008119,               0.008119
                     21,                 1.2295,                   1.69,                  2.028,                 1.0678,                0.19893,                0.36858,                0.18861,                0.11833,                0.19907,                0.36883,                0.18902,                0.11421,                 1.2836,                 1.8848,                 2.1948,                 1.1565,                0.00802,                0.00802,                0.00802
                     22,                 1.2141,                 1.6877,                 1.9931,                  1.062,                0.20713,                0.41151,                0.22424,                0.14261,                0.20949,                0.40986,                0.22448,                0.13276,                 1.2506,                 1.8613,                 2.1095,                  1.144,               0.007921,               0.007921,               0.007921
                     23,                 1.2222,                 1.6953,                 2.0012,                 1.0546,                0.26892,                0.39507,                0.25003,                0.16149,                0.26814,                0.39384,                0.24885,                 0.1444,                 1.1976,                 1.8083,                 2.0236,                 1.1314,               0.007822,               0.007822,               0.007822
                     24,                 1.2213,                 1.6706,                 1.9445,                 1.0757,                0.25332,                0.42461,                0.25604,                0.16618,                0.25364,                 0.4254,                0.25636,                0.15333,                  1.206,                 1.8445,                 1.9479,                 1.1236,               0.007723,               0.007723,               0.007723
                     25,                 1.1974,                 1.6738,                 1.9713,                 1.0622,                0.23842,                0.41445,                0.23681,                0.14421,                 0.2381,                0.41225,                0.23634,                0.13945,                 1.3108,                 1.8305,                 2.1725,                 1.1831,               0.007624,               0.007624,               0.007624
                     26,                 1.2028,                 1.6453,                 1.9558,                 1.0657,                0.23592,                0.42233,                0.24871,                0.15889,                0.23685,                0.42108,                0.24855,                0.15114,                 1.2624,                 1.8137,                 2.1202,                 1.1407,               0.007525,               0.007525,               0.007525
                     27,                 1.1905,                 1.6336,                 1.9506,                 1.0745,                0.23487,                0.45469,                0.25905,                0.16246,                0.23472,                0.45423,                0.25873,                0.15408,                 1.2685,                 1.8127,                 1.9482,                 1.1604,               0.007426,               0.007426,               0.007426
                     28,                 1.2043,                 1.6605,                 1.9621,                 1.0575,                0.24889,                 0.4216,                0.26199,                0.16673,                0.24854,                0.42135,                0.26167,                0.15239,                 1.2483,                 1.8285,                 1.9856,                 1.1525,               0.007327,               0.007327,               0.007327
                     29,                 1.1899,                 1.6165,                 1.9245,                 1.0503,                0.22589,                0.46497,                 0.2395,                0.14938,                0.22517,                0.46307,                0.23792,                0.13761,                 1.2633,                 1.9243,                   1.96,                 1.1577,               0.007228,               0.007228,               0.007228
