                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     30,                  1.176,                 1.6287,                 1.8744,                 1.0567,                0.23661,                0.44787,                0.25424,                0.16052,                0.23612,                0.44384,                0.25398,                0.15173,                 1.3012,                 1.8091,                 1.9843,                 1.1764,               0.007129,               0.007129,               0.007129
                     31,                 1.1852,                 1.6118,                 1.8449,                 1.0523,                0.13382,                0.28434,                0.12393,                0.05775,                0.13342,                0.27696,                0.12144,                0.05494,                 1.9283,                 2.3332,                 2.6845,                 1.7196,                0.00703,                0.00703,                0.00703
                     32,                 1.2285,                 1.6569,                 1.8797,                 1.0563,                0.21516,                0.19867,                 0.1305,                0.08342,                0.21614,                0.19938,                0.13073,                0.07853,                 1.2757,                 1.7421,                 2.2215,                 1.1994,               0.006931,               0.006931,               0.006931
                     33,                    1.2,                  1.592,                 1.8346,                 1.0448,                0.25607,                0.46164,                0.29749,                 0.1919,                0.25559,                0.46117,                0.29727,                0.18043,                 1.2277,                 1.7165,                  1.947,                 1.1384,               0.006832,               0.006832,               0.006832
                     34,                 1.1818,                 1.6206,                  1.805,                 1.0618,                 0.2967,                0.49046,                0.33092,                0.21822,                0.29674,                0.49059,                0.33047,                0.20678,                  1.184,                 1.6478,                 1.8156,                 1.1173,               0.006733,               0.006733,               0.006733
                     35,                 1.1946,                 1.6307,                 1.7776,                 1.0779,                0.20788,                0.44204,                0.24037,                0.15654,                0.20784,                0.44228,                0.23993,                0.14929,                 1.2142,                 1.6866,                 2.2025,                 1.1254,               0.006634,               0.006634,               0.006634
                     36,                 1.1676,                  1.595,                 1.7165,                 1.0487,                0.33413,                0.45706,                0.37361,                0.23789,                0.33439,                 0.4573,                0.37308,                0.23334,                 1.2693,                 1.7132,                 1.7635,                 1.1456,               0.006535,               0.006535,               0.006535
                     37,                 1.1736,                 1.6041,                 1.7026,                 1.0487,                0.29283,                0.44014,                0.31944,                0.20885,                0.29294,                0.44058,                 0.3197,                0.19653,                 1.2005,                 1.6449,                 1.8381,                 1.1223,               0.006436,               0.006436,               0.006436
                     38,                 1.1758,                 1.6112,                 1.7358,                 1.0674,                0.31885,                0.47364,                0.34968,                0.22562,                0.31934,                0.47387,                0.34986,                0.21145,                 1.2182,                 1.6388,                  1.802,                 1.1443,               0.006337,               0.006337,               0.006337
                     39,                 1.1876,                 1.6256,                 1.7212,                 1.0522,                0.41943,                0.50197,                0.45325,                0.28606,                 0.4193,                0.49924,                0.45238,                0.27143,                 1.2726,                 1.7281,                 1.6409,                 1.1591,               0.006238,               0.006238,               0.006238
                     40,                 1.1919,                 1.6485,                 1.6396,                 1.0586,                0.36442,                0.46103,                0.38594,                0.25423,                0.36413,                0.46089,                0.38527,                0.23359,                 1.1892,                   1.75,                 2.3103,                 1.1236,               0.006139,               0.006139,               0.006139
                     41,                 1.1688,                 1.6266,                 1.6438,                 1.0573,                0.43802,                0.49384,                 0.4727,                0.31024,                0.43646,                0.49501,                0.47216,                0.28509,                 1.1854,                 1.6428,                 1.5732,                 1.1301,                0.00604,                0.00604,                0.00604
                     42,                  1.157,                 1.6198,                 1.5891,                 1.0572,                0.42179,                0.51073,                0.48938,                0.32133,                0.42151,                0.51029,                0.48815,                0.29052,                 1.1895,                 1.6301,                  1.519,                  1.117,               0.005941,               0.005941,               0.005941
                     43,                  1.175,                 1.5975,                 1.6169,                 1.0531,                0.41995,                 0.5254,                0.48094,                0.30912,                0.41996,                0.52552,                0.48117,                  0.282,                 1.2319,                 1.6847,                 1.5678,                  1.154,               0.005842,               0.005842,               0.005842
                     44,                 1.1721,                 1.5995,                 1.6022,                 1.0578,                0.38929,                0.54032,                0.45866,                 0.3038,                0.38911,                0.54044,                0.45764,                0.27473,                 1.1716,                 1.6277,                 1.5558,                   1.12,               0.005743,               0.005743,               0.005743
                     45,                 1.1677,                 1.6149,                  1.552,                 1.0506,                0.42172,                 0.4863,                0.45553,                0.29368,                0.42243,                0.48731,                0.45643,                 0.2767,                 1.2123,                 1.6424,                 1.5751,                 1.1475,               0.005644,               0.005644,               0.005644
                     46,                 1.1518,                 1.5994,                 1.4988,                  1.046,                0.42608,                0.52266,                0.47668,                0.29553,                0.42744,                0.52423,                0.47835,                0.28378,                 1.2694,                 1.7514,                 1.5511,                 1.1652,               0.005545,               0.005545,               0.005545
                     47,                 1.1429,                 1.5722,                 1.5194,                  1.043,                0.41039,                0.53008,                 0.4941,                0.32511,                0.41127,                0.52872,                0.49268,                0.30251,                 1.1703,                 1.6324,                 1.4999,                 1.1228,               0.005446,               0.005446,               0.005446
                     48,                 1.1456,                 1.5389,                 1.5607,                 1.0381,                0.46253,                0.50852,                0.50751,                0.33525,                0.46287,                0.50903,                0.50733,                0.30777,                 1.1828,                 1.6163,                 1.5108,                 1.1213,               0.005347,               0.005347,               0.005347
                     49,                 1.1542,                 1.5638,                 1.5118,                 1.0526,                0.45542,                0.52446,                0.51842,                0.31232,                 0.4552,                0.52403,                0.51876,                0.30072,                 1.3395,                 1.7417,                 1.4969,                 1.2131,               0.005248,               0.005248,               0.005248
                     50,                 1.1717,                 1.5865,                 1.5106,                 1.0423,                0.46111,                 0.4471,                0.45366,                0.29312,                0.45933,                0.44555,                0.45093,                0.27745,                  1.216,                 1.6285,                 1.7023,                 1.1391,               0.005149,               0.005149,               0.005149
                     51,                 1.1663,                 1.5882,                 1.4947,                 1.0513,                  0.478,                0.54041,                0.53163,                0.34896,                0.48931,                 0.5322,                0.53161,                0.32446,                 1.1724,                 1.6097,                 1.4964,                  1.124,                0.00505,                0.00505,                0.00505
                     52,                 1.1456,                  1.584,                 1.5194,                  1.044,                0.50987,                0.54041,                0.56983,                0.36321,                0.51023,                0.53901,                0.56819,                0.34502,                 1.2381,                  1.634,                 1.3728,                 1.1592,               0.004951,               0.004951,               0.004951
                     53,                 1.1468,                 1.5582,                 1.4409,                 1.0415,                0.45263,                0.56048,                0.52837,                0.32837,                 0.4531,                0.56101,                0.52867,                0.31267,                 1.2902,                 1.6401,                 1.4322,                 1.1951,               0.004852,               0.004852,               0.004852
                     54,                 1.1563,                 1.5856,                 1.4692,                 1.0588,                0.46625,                0.58012,                0.55215,                0.34822,                0.46576,                 0.5793,                0.55051,                0.32347,                 1.2613,                 1.6771,                 1.4068,                 1.1657,               0.004753,               0.004753,               0.004753
                     53,                 1.1217,                 1.5908,                 1.4652,                 1.0377,                0.35356,                0.58183,                0.45172,                0.30038,                 0.3536,                0.58164,                0.45127,                0.28168,                 1.1727,                 1.5943,                 1.5181,                 1.1136,               0.004852,               0.004852,               0.004852
                     54,                 1.1341,                 1.5577,                 1.4792,                 1.0349,                0.40122,                0.56468,                0.48416,                 0.3075,                0.40108,                0.56429,                0.48418,                0.28995,                  1.249,                 1.6153,                 1.5296,                 1.1763,               0.004753,               0.004753,               0.004753
                     55,                 1.1266,                 1.5499,                 1.4662,                 1.0418,                0.42757,                0.46177,                0.44717,                0.29237,                0.42768,                0.46162,                0.44671,                0.27024,                 1.1995,                 1.6363,                 1.6495,                 1.1301,               0.004654,               0.004654,               0.004654
                     56,                 1.1265,                  1.553,                 1.5347,                 1.0472,                0.51875,                0.49369,                0.54591,                0.35369,                0.51788,                0.49336,                0.54486,                 0.3286,                 1.2058,                 1.6016,                 1.4505,                 1.1299,               0.004555,               0.004555,               0.004555
                     57,                 1.1278,                 1.5311,                 1.4518,                 1.0349,                 0.4849,                0.46961,                0.46859,                0.30703,                0.48447,                0.46905,                0.46756,                 0.2828,                 1.1802,                 1.6084,                 1.6628,                 1.1361,               0.004456,               0.004456,               0.004456
                     58,                 1.1408,                  1.574,                 1.4589,                 1.0377,                0.51646,                0.44877,                0.48298,                0.31485,                0.51766,                0.44831,                 0.4812,                 0.2913,                 1.1974,                 1.5916,                 1.6307,                 1.1358,               0.004357,               0.004357,               0.004357
                     59,                  1.141,                 1.6333,                 1.4679,                 1.0635,                0.47645,                0.54155,                0.54526,                0.34827,                0.47371,                0.54595,                 0.5445,                0.33206,                 1.2617,                  1.607,                 1.4279,                 1.1795,               0.004258,               0.004258,               0.004258
                     60,                 1.1149,                 1.4929,                 1.4077,                 1.0289,                0.45886,                0.58327,                 0.5505,                0.35784,                0.45854,                0.58289,                0.55042,                0.34045,                 1.2205,                 1.5637,                 1.3691,                 1.1515,               0.004159,               0.004159,               0.004159
                     61,                 1.1409,                 1.5717,                 1.4054,                 1.0315,                0.46372,                0.48817,                0.50831,                  0.332,                0.46305,                0.48734,                0.50687,                0.31453,                 1.1834,                 1.6087,                 1.5465,                 1.1125,                0.00406,                0.00406,                0.00406
                     62,                 1.1225,                 1.5577,                 1.3693,                 1.0405,                0.48944,                0.53918,                0.55563,                0.36982,                0.49076,                0.53787,                0.55515,                0.33967,                 1.1515,                 1.6081,                 1.3962,                 1.0999,               0.003961,               0.003961,               0.003961
                     63,                 1.1035,                 1.5342,                 1.3947,                 1.0213,                0.43951,                0.60814,                 0.5375,                0.35647,                0.44088,                 0.6062,                0.53684,                0.33565,                 1.1693,                 1.5803,                 1.3641,                 1.1039,               0.003862,               0.003862,               0.003862
                     64,                 1.1091,                 1.5059,                 1.3901,                 1.0238,                0.34093,                0.46019,                0.36925,                0.23978,                0.34051,                0.45995,                0.36931,                0.23119,                 1.2266,                 1.6683,                 1.8839,                 1.1428,               0.003763,               0.003763,               0.003763
                     65,                 1.1144,                 1.5179,                 1.3915,                 1.0386,                0.51986,                0.53364,                0.56627,                0.37486,                 0.5208,                0.53254,                0.56609,                0.34494,                 1.1773,                 1.5747,                 1.3863,                 1.1199,               0.003664,               0.003664,               0.003664
                     66,                 1.1102,                 1.5055,                 1.3567,                 1.0427,                0.46061,                0.59668,                0.56966,                0.37441,                 0.4608,                 0.5969,                0.56933,                0.34476,                 1.1874,                 1.6005,                 1.3315,                 1.1246,               0.003565,               0.003565,               0.003565
                     67,                 1.1151,                 1.4909,                 1.3718,                 1.0286,                0.49164,                0.59985,                0.58739,                0.39115,                0.49043,                0.60108,                0.58635,                0.36207,                 1.1578,                 1.5748,                    1.3,                 1.1038,               0.003466,               0.003466,               0.003466
                     68,                 1.0938,                 1.5457,                 1.4828,                 1.0306,                0.38895,                0.62334,                0.50223,                0.33787,                0.38985,                0.62078,                0.50055,                0.31044,                 1.1387,                 1.5648,                 1.3888,                 1.0981,               0.003367,               0.003367,               0.003367
                     69,                 1.1023,                 1.5142,                  1.342,                 1.0376,                0.48912,                  0.573,                0.56884,                 0.3825,                0.48972,                0.57401,                0.56894,                 0.3474,                 1.1312,                 1.5788,                 1.3523,                 1.1011,               0.003268,               0.003268,               0.003268
                     70,                 1.1079,                 1.5289,                 1.3624,                  1.022,                0.51578,                0.55065,                0.56987,                 0.3799,                0.51537,                 0.5504,                0.56777,                0.34506,                  1.149,                 1.5589,                 1.3462,                 1.1049,               0.003169,               0.003169,               0.003169
                     71,                 1.1031,                 1.5019,                 1.3527,                 1.0251,                0.54509,                0.53253,                0.58247,                0.39076,                 0.5459,                0.53197,                0.58084,                0.35399,                  1.135,                 1.5508,                 1.3272,                 1.0982,                0.00307,                0.00307,                0.00307
                     72,                 1.1212,                 1.5534,                 1.3667,                  1.043,                 0.5319,                0.54297,                0.58646,                0.39232,                0.53368,                0.54114,                0.58606,                0.36278,                 1.1324,                 1.5696,                 1.3325,                 1.0933,               0.002971,               0.002971,               0.002971
                     73,                 1.0982,                 1.4872,                 1.3284,                 1.0354,                0.51135,                0.49939,                0.54492,                0.35561,                0.52806,                0.48521,                0.54395,                0.33158,                 1.1984,                 1.5961,                 1.4822,                 1.1238,               0.002872,               0.002872,               0.002872
                     74,                 1.0971,                  1.492,                 1.3627,                 1.0166,                0.37198,                0.63415,                0.44673,                0.30261,                0.37279,                0.63559,                 0.4476,                0.28051,                 1.1414,                 1.5421,                  1.456,                 1.0982,               0.002773,               0.002773,               0.002773
                     75,                 1.1069,                 1.4982,                 1.3306,                 1.0247,                0.50513,                0.58215,                0.58637,                0.38864,                0.50703,                0.58028,                0.58683,                0.36121,                 1.1637,                  1.538,                  1.311,                 1.1133,               0.002674,               0.002674,               0.002674
                     76,                 1.1106,                 1.5079,                 1.3227,                 1.0152,                0.50329,                 0.4934,                0.53325,                0.34423,                0.50395,                0.49237,                0.53342,                0.32493,                 1.2083,                 1.5914,                  1.492,                 1.1296,               0.002575,               0.002575,               0.002575
                     77,                 1.0928,                 1.4927,                 1.2746,                 1.0255,                0.48118,                0.61453,                0.58825,                0.38986,                0.48113,                0.61451,                0.58767,                0.36428,                 1.1697,                 1.5325,                 1.2992,                 1.1125,               0.002476,               0.002476,               0.002476
                     78,                 1.0806,                 1.4838,                 1.2966,                 1.0154,                0.48763,                0.61334,                0.58395,                0.39137,                0.48735,                0.61286,                0.58384,                0.36246,                 1.1542,                 1.5465,                 1.2634,                 1.1125,               0.002377,               0.002377,               0.002377
                     79,                 1.0864,                 1.4781,                 1.3066,                 1.0228,                0.51338,                0.59634,                0.59645,                 0.3981,                0.51103,                0.59726,                0.59433,                0.36558,                 1.1552,                  1.571,                 1.2677,                 1.1107,               0.002278,               0.002278,               0.002278
                     80,                 1.0726,                 1.4652,                 1.3231,                 1.0291,                0.39044,                0.61022,                 0.4788,                0.31776,                0.38995,                0.60941,                0.47786,                 0.2918,                 1.1672,                 1.5559,                  1.417,                 1.1155,               0.002179,               0.002179,               0.002179
                     81,                 1.0893,                 1.4824,                 1.3686,                 1.0183,                0.46623,                0.57662,                0.55798,                0.36792,                0.46749,                0.57502,                0.55838,                 0.3376,                 1.1716,                 1.5795,                 1.3542,                 1.1153,                0.00208,                0.00208,                0.00208
                     82,                 1.0684,                 1.4574,                 1.3134,                 1.0054,                0.50821,                0.60228,                0.60305,                0.40041,                0.50858,                0.59976,                0.60226,                0.36941,                 1.1567,                 1.6051,                  1.274,                 1.1004,               0.001981,               0.001981,               0.001981
                     83,                 1.0656,                 1.4606,                 1.2464,                 1.0164,                0.50807,                0.55671,                0.57757,                0.38285,                0.50688,                0.55547,                 0.5754,                0.36096,                 1.1543,                 1.5567,                 1.3529,                 1.0967,               0.001882,               0.001882,               0.001882
                     84,                 1.0733,                  1.463,                 1.2638,                 1.0119,                0.38597,                0.62793,                0.50066,                0.33364,                0.38604,                0.62469,                0.50002,                0.31136,                  1.147,                 1.5375,                  1.385,                 1.0932,               0.001783,               0.001783,               0.001783
                     85,                 1.1075,                 1.4924,                  1.345,                 1.0143,                0.35225,                0.58543,                0.44395,                0.29858,                0.35195,                0.58491,                0.44378,                0.27266,                 1.1528,                 1.5739,                 1.4818,                 1.1049,               0.001684,               0.001684,               0.001684
                     86,                 1.1044,                 1.4454,                 1.2818,                 1.0073,                0.52466,                0.58459,                0.60908,                0.40888,                 0.5223,                0.58809,                0.60902,                0.37636,                 1.1446,                 1.5355,                  1.222,                 1.0953,               0.001585,               0.001585,               0.001585
                     87,                 1.0776,                 1.4671,                 1.2722,                 1.0159,                 0.4911,                0.63097,                0.59966,                0.40225,                0.49134,                0.63124,                0.60029,                0.37206,                  1.144,                 1.5285,                 1.2351,                 1.0915,               0.001486,               0.001486,               0.001486
                     88,                 1.0692,                 1.4631,                 1.2618,                 1.0241,                0.54269,                0.58746,                0.61641,                0.40942,                0.54208,                0.58672,                 0.6155,                0.37998,                 1.1484,                 1.5237,                 1.2475,                 1.0994,               0.001387,               0.001387,               0.001387
                     89,                 1.0591,                  1.453,                 1.2232,                 1.0037,                0.48929,                0.62293,                0.59981,                0.40028,                0.48836,                0.62168,                0.59846,                 0.3687,                 1.1514,                 1.5349,                 1.2488,                 1.1018,               0.001288,               0.001288,               0.001288
                     90,                 1.0772,                 1.4038,                 1.2592,                 1.0485,                0.52431,                0.61162,                0.62343,                0.41514,                0.52309,                0.61023,                0.62059,                0.38029,                 1.1499,                 1.5657,                 1.2529,                 1.0989,               0.001189,               0.001189,               0.001189
                     91,                 1.0597,                 1.3321,                 1.2912,                  1.038,                0.38418,                0.62874,                0.48437,                0.31959,                0.38365,                0.62785,                0.48302,                0.30048,                 1.1736,                 1.5741,                 1.4019,                 1.1049,                0.00109,                0.00109,                0.00109
                     92,                 1.0796,                 1.3828,                 1.2591,                 1.0501,                0.53001,                0.55731,                0.59677,                0.39378,                 0.5297,                0.55692,                0.59615,                0.36105,                 1.1603,                 1.5557,                 1.3339,                 1.1003,               0.000991,               0.000991,               0.000991
                     93,                 1.0598,                 1.3601,                 1.2914,                 1.0475,                0.47816,                0.61755,                0.58078,                0.39231,                0.47791,                 0.6172,                0.57914,                0.35968,                 1.1222,                 1.5263,                 1.2568,                 1.0801,               0.000892,               0.000892,               0.000892
                     94,                 1.0571,                 1.3723,                 1.1542,                 1.0475,                  0.513,                 0.6155,                0.62014,                0.41296,                0.51218,                0.61423,                 0.6189,                 0.3792,                 1.1433,                 1.5373,                 1.2534,                 1.0913,               0.000793,               0.000793,               0.000793
                     95,                 1.0749,                 1.3276,                 1.2184,                 1.0482,                0.52641,                0.60158,                0.61729,                0.41408,                0.52579,                0.60381,                0.61707,                0.38461,                 1.1421,                 1.5175,                 1.2164,                 1.0906,               0.000694,               0.000694,               0.000694
                     96,                 1.0589,                 1.3483,                 1.1318,                 1.0325,                0.46436,                0.64047,                 0.5732,                0.38676,                0.46409,                0.63999,                0.57173,                0.35599,                   1.13,                 1.5131,                 1.2473,                 1.0823,               0.000595,               0.000595,               0.000595
                     97,                 1.0371,                 1.3495,                 1.1352,                 1.0297,                0.52159,                0.59647,                0.60902,                0.40813,                0.52033,                0.59713,                0.60762,                 0.3775,                 1.1418,                 1.5284,                 1.2127,                 1.0908,               0.000496,               0.000496,               0.000496
                     98,                 1.0571,                 1.3765,                   1.14,                 1.0531,                0.50088,                0.63391,                0.60779,                0.41095,                0.50022,                0.63303,                0.60685,                0.37495,                 1.1299,                 1.5252,                 1.2066,                 1.0859,               0.000397,               0.000397,               0.000397
                     99,                 1.0419,                 1.3469,                   1.11,                 1.0422,                0.53046,                0.62785,                0.63696,                0.42807,                0.52951,                 0.6267,                0.63557,                0.39137,                 1.1433,                 1.5263,                 1.1812,                 1.0958,               0.000298,               0.000298,               0.000298
