                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0665,                 1.6265,                 1.4173,                0.46915,                0.11531,                0.15619,                0.05645,                 2.2321,                 3.0904,                 1.6751,                 0.0802,                 0.0022,                 0.0022
                      2,                 2.1066,                 1.7534,                  1.482,                0.25253,                0.18416,                0.12025,                0.04458,                 2.7166,                 2.7578,                 2.4796,               0.059455,              0.0044554,              0.0044554
                      3,                 2.1059,                 1.7843,                 1.4996,                0.38465,                0.22142,                0.18797,                0.07369,                  2.279,                 2.3958,                 1.6709,               0.038665,              0.0066654,              0.0066654
                      4,                 2.1035,                 1.7693,                 1.4821,                0.50978,                0.19969,                0.18399,                0.06549,                 2.4441,                 3.4247,                  1.809,                0.01783,              0.0088297,              0.0088297
                      5,                 2.1289,                 1.7489,                 1.4904,                0.27543,                0.09874,                0.06234,                0.02302,                 2.2927,                 7.3651,                 1.7338,               0.009604,               0.009604,               0.009604
                      6,                 2.0798,                 1.6956,                 1.4802,                 0.5857,                0.27349,                0.24375,                0.09188,                 2.1538,                 3.8431,                 1.6244,               0.009505,               0.009505,               0.009505
                      7,                 2.0322,                 1.6562,                 1.4448,                0.45534,                0.26088,                0.20056,                0.07807,                 2.1057,                  3.299,                 1.7022,               0.009406,               0.009406,               0.009406
                      8,                 2.0522,                 1.6575,                 1.4642,                0.51198,                0.25306,                0.21101,                 0.0783,                 2.1825,                 2.0749,                 1.6414,               0.009307,               0.009307,               0.009307
                      9,                 2.0469,                 1.6593,                 1.4722,                0.36991,                0.31775,                0.19888,                0.07728,                 2.0885,                 4.2961,                 1.5939,               0.009208,               0.009208,               0.009208
                     10,                 2.0124,                 1.5864,                  1.443,                0.22107,                 0.2195,                0.17356,                0.06307,                 2.4135,                  2.771,                 1.7938,               0.009109,               0.009109,               0.009109
                     11,                 1.9826,                 1.5897,                  1.443,                0.49561,                0.38007,                0.31447,                0.12613,                 2.0208,                 1.8011,                 1.5946,                0.00901,                0.00901,                0.00901
                     12,                 2.0173,                 1.5505,                 1.4705,                0.55449,                0.32268,                0.26158,                  0.105,                 2.0278,                 2.1853,                 1.5213,               0.008911,               0.008911,               0.008911
                     13,                 2.0163,                 1.5405,                 1.4397,                0.56262,                0.27673,                0.28516,                0.11472,                 2.0964,                 2.0752,                 1.5718,               0.008812,               0.008812,               0.008812
                     14,                 1.9905,                 1.5425,                 1.4172,                0.51207,                0.37954,                0.35569,                0.14509,                 2.0154,                 1.8746,                 1.5379,               0.008713,               0.008713,               0.008713
                     15,                 1.9768,                 1.5165,                 1.4193,                0.47615,                0.37042,                0.32968,                0.13537,                  2.069,                 1.8662,                 1.5267,               0.008614,               0.008614,               0.008614
                     16,                  1.977,                 1.5401,                 1.4277,                0.49068,                0.37856,                0.33854,                0.13856,                 2.0133,                 1.8225,                 1.5155,               0.008515,               0.008515,               0.008515
                     17,                 1.9382,                 1.4743,                 1.4155,                0.49782,                0.23751,                0.25663,                0.10863,                 2.2093,                 2.4883,                 1.6192,               0.008416,               0.008416,               0.008416
                     18,                 1.9581,                 1.5425,                 1.4415,                0.52046,                0.32567,                0.33059,                0.13641,                 2.0616,                 1.7998,                 1.5615,               0.008317,               0.008317,               0.008317
                     19,                 2.0105,                 1.5799,                 1.4313,                0.42263,                0.36359,                0.30457,                0.12849,                 2.0716,                 1.7907,                 1.5182,               0.008218,               0.008218,               0.008218
                     20,                 1.9653,                 1.5036,                 1.4112,                0.49827,                0.40243,                0.32107,                0.12557,                 1.9816,                 1.6975,                 1.4823,               0.008119,               0.008119,               0.008119
                     21,                 1.9487,                 1.4735,                 1.4225,                0.63226,                0.39335,                0.38173,                 0.1531,                 1.9792,                 1.5084,                 1.5028,                0.00802,                0.00802,                0.00802
                     22,                 1.9251,                 1.3937,                 1.3836,                0.71451,                0.38733,                0.38526,                0.15501,                 1.9879,                 1.4622,                 1.4939,               0.007921,               0.007921,               0.007921
                     23,                 1.9481,                 1.4258,                 1.4034,                0.48237,                0.37499,                 0.3377,                0.13326,                 2.1284,                 1.5817,                 1.5654,               0.007822,               0.007822,               0.007822
                     24,                  1.944,                 1.4739,                  1.398,                0.63019,                0.39871,                0.37542,                  0.154,                 1.9695,                 1.5813,                  1.493,               0.007723,               0.007723,               0.007723
                     25,                 1.9295,                 1.4154,                  1.392,                0.50809,                0.43998,                0.38804,                0.15057,                 1.9785,                 1.6549,                 1.4903,               0.007624,               0.007624,               0.007624
                     26,                 1.9153,                 1.4234,                 1.3641,                0.64201,                0.40486,                  0.406,                0.15999,                 1.9677,                 1.6237,                 1.4934,               0.007525,               0.007525,               0.007525
                     27,                 1.9177,                 1.3924,                 1.3888,                 0.5427,                0.39946,                0.36023,                0.14292,                 1.9882,                 1.5519,                 1.4855,               0.007426,               0.007426,               0.007426
