                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8009,                 4.1529,                 1.4949,                0.00763,                0.08613,                0.00538,                0.00263,                 1.6445,                 3.9588,                 1.3757,                 0.0991,                 0.0001,                 0.0001
                      1,                 1.4905,                 3.5713,                 1.1553,                0.00744,                 0.2437,                0.09494,                0.05292,                 1.6107,                 3.5304,                 1.1751,                0.09727,              0.0002703,              0.0002703
                      2,                 1.4203,                 2.9657,                 1.1012,                0.10099,                0.26654,                0.18158,                0.10151,                 1.4629,                  3.363,                 1.1911,               0.095401,               0.000401,               0.000401
                      3,                 1.3759,                 2.2874,                 1.0767,                0.16434,                0.46866,                 0.2547,                0.12845,                 1.4555,                 2.9783,                 1.1784,               0.093492,              0.0004921,              0.0004921
                      4,                 1.3732,                 1.7756,                 1.0783,                0.10613,                0.20781,                0.13745,                0.06323,                  1.637,                 2.6478,                 1.3989,               0.091544,              0.0005436,              0.0005436
                      5,                 1.2926,                 1.6016,                 1.0667,                0.17908,                0.16689,                0.15261,                0.08037,                  1.616,                 2.5015,                 1.3996,               0.089556,              0.0005555,              0.0005555
                      6,                 1.2543,                 1.4866,                 1.0603,                  0.284,                0.14923,                 0.1492,                0.08527,                 1.6122,                 2.4686,                 1.4309,               0.087528,              0.0005278,              0.0005278
                      7,                  1.235,                 1.4566,                 1.0449,                0.32739,                0.15443,                0.15789,                0.09067,                 1.5096,                 2.2884,                 1.2494,               0.085461,              0.0004605,              0.0004605
                      8,                 1.2305,                 1.4049,                  1.048,                0.29705,                0.17853,                0.17347,                0.09353,                 1.5548,                 2.3062,                 1.2224,               0.083354,              0.0003536,              0.0003536
                      9,                 1.1956,                 1.3397,                  1.023,                0.31517,                0.22101,                0.18444,                0.10156,                 1.5221,                 2.2618,                 1.2154,               0.081207,              0.0002071,              0.0002071
