                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8855,                 1.3327,                 1.3378,                0.58742,                0.34537,                0.34948,                0.14671,                 2.0739,                 1.8506,                 1.5339,                 0.0802,                 0.0022,                 0.0022
                      2,                 1.9146,                 1.4076,                 1.3883,                0.63555,                0.37573,                 0.3693,                 0.1495,                 2.0669,                 1.8578,                 1.5801,               0.059389,              0.0043886,              0.0043886
                      3,                 1.9028,                 1.4309,                 1.3752,                0.54158,                0.34489,                0.33212,                0.13375,                 2.0888,                  1.786,                 1.5472,               0.038463,              0.0064634,              0.0064634
                      4,                 1.9085,                 1.4102,                 1.3686,                  0.397,                0.36703,                0.32583,                0.13004,                 2.1474,                 1.7785,                 1.5788,               0.017424,              0.0084243,              0.0084243
                      5,                 1.9374,                 1.3784,                 1.3777,                0.57891,                0.38934,                0.37678,                0.15406,                 2.0744,                 1.4969,                 1.5623,                0.00901,                0.00901,                0.00901
                      6,                 1.9106,                 1.4077,                 1.3831,                 0.6656,                0.38483,                0.40149,                0.15666,                 2.0075,                 1.7621,                 1.5364,              0.0087625,              0.0087625,              0.0087625
                      7,                 1.8981,                 1.3962,                 1.3657,                0.55564,                0.43917,                0.36872,                0.14398,                 2.0129,                 1.6731,                 1.5293,               0.008515,               0.008515,               0.008515
                      8,                 1.8928,                 1.3923,                 1.3752,                0.60491,                  0.414,                0.39001,                0.15872,                 2.0099,                 1.5377,                 1.5091,              0.0082675,              0.0082675,              0.0082675
                      9,                 1.8992,                 1.3721,                 1.3756,                0.51039,                0.41874,                0.36942,                 0.1487,                 2.0212,                 1.5926,                 1.5098,                0.00802,                0.00802,                0.00802
                     10,                 1.8883,                 1.3452,                 1.3566,                0.44852,                0.48892,                0.43024,                0.17803,                 1.9377,                 1.3493,                 1.4546,              0.0077725,              0.0077725,              0.0077725
                     11,                 1.8493,                  1.358,                 1.3584,                0.59558,                0.45146,                0.42265,                0.17165,                 2.0287,                 1.3487,                 1.4888,               0.007525,               0.007525,               0.007525
                     12,                 1.8766,                 1.3127,                 1.3726,                0.60383,                0.45821,                0.43385,                 0.1716,                 1.9743,                 1.4357,                  1.488,              0.0072775,              0.0072775,              0.0072775
                     13,                 1.8641,                 1.3169,                 1.3504,                0.62354,                0.44484,                0.42226,                 0.1751,                  1.958,                 1.3777,                 1.4694,                0.00703,                0.00703,                0.00703
                     14,                 1.8749,                 1.3216,                 1.3478,                0.56471,                0.37409,                0.36047,                0.14703,                 2.0385,                 1.6211,                 1.5082,              0.0067825,              0.0067825,              0.0067825
                     15,                 1.8495,                 1.3265,                 1.3351,                 0.6746,                0.41505,                0.41928,                0.16889,                  1.985,                 1.4336,                 1.4789,               0.006535,               0.006535,               0.006535
                     16,                 1.8403,                 1.3367,                 1.3499,                 0.7275,                0.44072,                0.44803,                0.18677,                 1.8998,                 1.3411,                 1.4278,              0.0062875,              0.0062875,              0.0062875
                     17,                 1.8361,                 1.2976,                 1.3469,                0.64264,                0.45286,                0.43245,                0.17897,                  1.955,                 1.3578,                 1.4666,                0.00604,                0.00604,                0.00604
                     18,                 1.8499,                 1.3243,                 1.3727,                0.65457,                0.43931,                0.41899,                 0.1669,                  2.005,                 1.4514,                 1.5146,              0.0057925,              0.0057925,              0.0057925
                     19,                 1.8437,                 1.3293,                 1.3403,                0.57578,                 0.4743,                0.42738,                0.17607,                 1.9554,                 1.3969,                 1.4653,               0.005545,               0.005545,               0.005545
                     20,                 1.8529,                  1.307,                 1.3407,                0.59993,                0.46641,                0.45216,                0.18446,                 1.9296,                 1.4344,                 1.4566,              0.0052975,              0.0052975,              0.0052975
                     21,                 1.8301,                 1.2934,                 1.3505,                0.69838,                0.45349,                0.45301,                0.19006,                 1.8956,                 1.3481,                 1.4403,                0.00505,                0.00505,                0.00505
                     22,                 1.8076,                 1.2158,                 1.3206,                0.74172,                 0.4572,                 0.4638,                0.18932,                 1.9407,                 1.3145,                 1.4458,              0.0048025,              0.0048025,              0.0048025
                     23,                 1.8224,                 1.2394,                  1.335,                0.58142,                0.49548,                0.43898,                0.18588,                 1.9111,                 1.3642,                 1.4389,               0.004555,               0.004555,               0.004555
                     24,                  1.829,                 1.2824,                 1.3365,                0.54364,                0.52032,                0.47484,                0.19338,                 1.9202,                 1.3027,                 1.4412,              0.0043075,              0.0043075,              0.0043075
                     25,                 1.8103,                 1.2209,                 1.3236,                0.49606,                0.50809,                0.45145,                0.19112,                 1.9305,                 1.3266,                  1.455,                0.00406,                0.00406,                0.00406
                     26,                 1.8003,                 1.2379,                 1.2964,                0.61972,                0.45252,                0.43898,                0.18441,                 1.9289,                  1.398,                  1.458,              0.0038125,              0.0038125,              0.0038125
                     27,                 1.8204,                   1.19,                 1.3276,                 0.4816,                0.51142,                  0.461,                0.19456,                 1.9226,                 1.3195,                 1.4508,               0.003565,               0.003565,               0.003565
