                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2554,                 2.6589,                 1.1728,                0.06545,                0.17898,                0.05725,                0.01868,                 2.3584,                 48.546,                 1.4077,               0.070667,              0.0032593,              0.0032593
                      2,                 2.0958,                 1.7177,                  1.131,                0.11118,                0.16233,                0.13236,                0.06513,                 2.0843,                 3.5737,                 1.1152,               0.039361,              0.0052873,              0.0052873
                      3,                 1.9888,                 1.4957,                 1.0978,                0.44697,                0.30796,                0.32923,                0.17193,                  2.046,                 1.6399,                 1.0884,               0.006736,              0.0059953,              0.0059953
                      4,                 1.8943,                 1.3909,                  1.075,                0.59429,                0.36476,                0.36841,                 0.1966,                  1.924,                 1.5582,                 1.0585,                0.00406,                0.00406,                0.00406
