                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2004,                 2.0723,                 4.0802,                 1.0754,                0.03701,                0.23154,                0.02903,                 0.0188,                0.03667,                0.22637,                0.02885,                0.01746,                 1.2035,                 2.1197,                 4.2429,                 1.0635,                 0.0748,                 0.0028,                 0.0028
                      1,                 1.2243,                 1.9829,                 3.5222,                 1.0814,                0.04022,                 0.4342,                0.04214,                0.02692,                0.03991,                0.43143,                 0.0418,                0.02508,                  1.257,                 2.0325,                 3.7465,                 1.0713,               0.048136,              0.0051357,              0.0051357
                      2,                   1.31,                 1.8997,                 3.2167,                 1.1012,                0.04508,                0.51087,                0.05869,                0.03401,                0.04493,                0.50757,                 0.0585,                0.03276,                  1.475,                  2.265,                 3.2536,                  1.225,               0.020897,              0.0068972,              0.0068972
                      3,                 1.2802,                 1.8662,                 2.9831,                 1.1123,                 0.0883,                 0.5452,                0.06503,                0.04052,                0.08817,                 0.5514,                0.06522,                0.03849,                 1.3519,                 2.1385,                 2.7677,                 1.1202,                0.00703,                0.00703,                0.00703
                      4,                 1.2681,                 1.8392,                  2.875,                 1.1046,                0.11911,                0.25672,                0.07508,                0.04388,                 0.1194,                0.25707,                0.07556,                0.04613,                 1.4932,                 2.0166,                 2.6514,                 1.1636,                0.00703,                0.00703,                0.00703
                      5,                 1.2414,                 1.7684,                 2.7367,                 1.0892,                0.12428,                0.28007,                0.08256,                0.05193,                 0.1245,                0.28026,                0.08278,                0.05139,                 1.3075,                 1.9753,                 2.5687,                 1.1115,                0.00604,                0.00604,                0.00604
                      6,                 1.2305,                 1.6755,                 2.6745,                 1.0854,                0.13859,                0.24958,                0.09042,                0.05969,                0.13904,                0.25061,                0.09042,                0.05645,                 1.2502,                 1.8498,                 2.4887,                 1.1157,                0.00505,                0.00505,                0.00505
                      7,                 1.1885,                 1.6632,                 2.6357,                 1.0672,                0.11121,                0.27897,                0.10232,                0.06833,                0.11084,                0.27913,                0.10232,                0.06511,                 1.1724,                 1.7978,                 2.4359,                 1.0758,                0.00406,                0.00406,                0.00406
                      8,                 1.1489,                 1.6251,                 2.5585,                 1.0659,                0.18505,                 0.2729,                 0.1272,                 0.0856,                0.18302,                0.27155,                0.12679,                0.08193,                 1.1596,                 1.7239,                 2.3539,                 1.0663,                0.00307,                0.00307,                0.00307
                      9,                 1.1236,                  1.557,                 2.5456,                 1.0522,                0.15223,                0.29927,                0.14336,                0.09777,                0.15037,                0.29863,                0.14273,                0.09268,                 1.1401,                 1.7079,                 2.3209,                 1.0545,                0.00208,                0.00208,                0.00208
