                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8855,                 1.3327,                 1.3378,                0.58742,                0.34537,                0.34948,                0.14671,                 2.0739,                 1.8506,                 1.5339,                 0.0802,                 0.0022,                 0.0022
                      2,                 1.9146,                 1.4076,                 1.3883,                0.63555,                0.37573,                 0.3693,                 0.1495,                 2.0669,                 1.8578,                 1.5801,               0.059389,              0.0043886,              0.0043886
                      3,                 1.9028,                 1.4309,                 1.3752,                0.54158,                0.34489,                0.33212,                0.13375,                 2.0888,                  1.786,                 1.5472,               0.038463,              0.0064634,              0.0064634
                      1,                 1.4767,                0.86883,                 1.2898,                0.70976,                0.76575,                0.77195,                 0.2797,                 2.2806,                 1.1159,                 1.6766,               0.070423,              0.0032864,              0.0032864
                      4,                 1.9085,                 1.4102,                 1.3686,                  0.397,                0.36703,                0.32583,                0.13004,                 2.1474,                 1.7785,                 1.5788,               0.017424,              0.0084243,              0.0084243
                      2,                 1.4916,                 0.8916,                 1.3078,                0.53325,                0.72786,                0.67024,                0.38548,                 1.4912,                 1.3443,                 1.3021,               0.040095,               0.006292,               0.006292
                      3,                 1.5029,                0.92139,                  1.325,                0.64972,                0.68365,                0.72204,                0.36485,                 1.6496,                 26.348,                 1.3826,              0.0094372,              0.0089677,              0.0089677
                      4,                 1.5068,                0.90282,                 1.3195,                0.70928,                0.72153,                0.75609,                0.27299,                 2.3138,                 1.1866,                 1.7661,               0.008515,               0.008515,               0.008515
                      5,                 1.4899,                0.86926,                 1.3186,                0.81784,                0.85322,                0.90781,                0.43827,                 1.7803,                 0.9086,                 1.4125,                0.00802,                0.00802,                0.00802
                      6,                 1.4777,                0.84118,                 1.3052,                0.75235,                0.78388,                0.83459,                0.29341,                 2.3972,                 1.0332,                 1.8201,               0.007525,               0.007525,               0.007525
                      7,                 1.4675,                0.82577,                 1.2985,                0.69709,                0.78248,                0.85064,                0.44963,                 1.6018,                 1.1039,                 1.3798,                0.00703,                0.00703,                0.00703
                      8,                 1.4452,                0.80901,                 1.2851,                0.58756,                0.76456,                0.72604,                 0.3294,                 1.9977,                 1.1719,                 1.5202,               0.006535,               0.006535,               0.006535
                      9,                 1.4399,                0.81104,                 1.2843,                 0.8099,                0.85107,                0.87402,                0.39311,                 1.9589,                0.88147,                 1.4642,                0.00604,                0.00604,                0.00604
